order_id,customer_id,order_date,total_amount
3113,1013,2023-06-02,427.36
3114,1012,2023-01-10,142.28
3115,1095,2023-02-25,485.6
3116,1046,2023-01-30,369.93
3117,1002,2023-04-19,139.78
3118,1035,2023-01-05,381.31
3119,1087,2023-04-29,288.43
3120,1081,2023-02-02,368.25
3121,1090,2023-04-28,395.5
3122,1008,2023-03-06,89.28
3123,1093,2023-05-26,277.75
3124,1026,2023-06-26,469.41
3125,1074,2023-01-11,194.29
3126,1090,2023-03-26,317.25
3127,1034,2023-01-26,216.15
3128,1007,2023-03-04,254.42
3129,1068,2023-03-27,296.87
3130,1058,2023-02-28,297.01
3131,1075,2023-01-27,140.78
3132,1029,2023-06-26,358.06
3133,1036,2023-06-10,89.54
3134,1089,2023-04-08,112.47
3135,1021,2023-04-15,51.22
3136,1036,2023-04-09,102.51
3137,1010,2023-05-09,262.92
3138,1073,2023-05-29,322.75
3139,1024,2023-02-24,407.43
3140,1064,2023-01-06,98.01
3141,1099,2023-04-05,432.83
3142,1049,2023-05-13,385.69
3143,1099,2023-04-12,233.83
3144,1036,2023-01-03,469.82
3145,1082,2023-01-23,495.92
3146,1096,2023-02-22,142.25
3147,1024,2023-06-14,220.65
3148,1023,2023-03-24,466.9
3149,1062,2023-05-25,374.72
3150,1096,2023-03-26,71.64
3151,1037,2023-03-19,401.68
3152,1012,2023-04-20,422.57
3153,1055,2023-01-01,387.73
3154,1013,2023-02-20,409.79
3155,1023,2023-06-22,421.31
3156,1089,2023-01-04,133.88
3157,1099,2023-04-23,156.06
3158,1030,2023-02-01,335.19
3159,1017,2023-02-03,458.54
3160,1062,2023-04-02,192.29
3161,1084,2023-04-05,314.74
3162,1089,2023-03-13,357.34
3163,1086,2023-02-08,253.38
3164,1013,2023-06-03,371.2
3165,1059,2023-06-11,454.85
3166,1019,2023-04-28,330.85
3167,1049,2023-01-03,292.9
3168,1100,2023-05-03,247.44
3169,1012,2023-02-19,309.87
3170,1061,2023-01-12,209.91
3171,1019,2023-02-23,226.17
3172,1076,2023-05-13,289.34
3173,1009,2023-02-26,79.98
3174,1071,2023-05-25,153.06
3175,1028,2023-04-22,294.28
3176,1078,2023-02-16,244.19
3177,1095,2023-05-31,199.77
3178,1052,2023-03-26,378.75
3179,1083,2023-05-22,362.17
3180,1016,2023-03-07,125.03
3181,1069,2023-03-16,445.38
3182,1099,2023-06-28,272.94
3183,1012,2023-04-13,383.66
3184,1025,2023-06-15,307.92
3185,1052,2023-02-07,498.96
3186,1085,2023-02-19,388.58
3187,1100,2023-04-08,368.14
3188,1053,2023-03-23,400.36
3189,1023,2023-01-30,114.41
3190,1016,2023-03-20,142.05
3191,1057,2023-04-01,371.33
3192,1039,2023-06-28,272.29
3193,1053,2023-02-21,389.59
3194,1042,2023-06-15,96.31
3195,1058,2023-03-20,291.42
3196,1039,2023-01-30,220.47
3197,1014,2023-04-16,255.65
3198,1095,2023-02-20,321.78
3199,1005,2023-03-22,276.03
3200,1035,2023-05-13,292.94
